Name,Dealer,Mileage,Rating,Rating Count,Price,Stock Type
2017 Chevrolet Silverado 1500 LTZ,Wells Auto Group,40526 ,3.9,43 ,42978,Used
2017 Chevrolet SS Base,Classic Chevrolet,6151 ,3.9,188 ,55000,Chevrolet Certified
2020 Nissan Titan SL,Off Lease Only Orlando,4214 ,4.9,"26,053 ",50499,Used
2016 Lexus LX 570 Base,Butler Lexus of South Atlanta,90697 ,2.8,28 ,61792,Used
2017 Honda CR-V Touring,AutoNation Acura Stevens Creek,103619 ,4.7,811 ,23598,Used
2015 Lexus GS 350 Base (A8),Hayes Chrysler Dodge Jeep RAM-Lawrenceville,52955 ,4.8,"1,963 ",29650,Used
2020 Kia Telluride EX,Feretti Motors,14983 ,4.0,25 ,36900,Used
2019 Jeep Grand Cherokee Limited,AutoNation USA Henderson,61154 ,4.3,107 ,35498,Used
2018 Dodge Charger R/T 392,Off Lease Only Broward,23932 ,4.9,"8,474 ",46749,Used
2008 Mercedes-Benz CLK-Class CLK 350,Global Auto Outlet,103882 ,3.2,93 ,8596,Used
2018 Honda CR-V EX-L,Honda of New Rochelle,18036 ,4.8,"3,028 ",29481,Honda Certified
2018 Nissan Versa S Plus,Discount Auto,48321 ,3.8,19 ,11500,Used
2018 Mercedes-Benz AMG E 63 S 4MATIC,Mercedes-Benz of Greenwich,49875 ,4.1,78 ,84995,Used
2019 Lexus ES 350 ,Northside Lexus,26621 ,4.9,"5,550 ",39500,Used
2001 Chevrolet Tahoe LT,Car City Autoplex,69932 ,2.1,5 ,13995,Used
2017 Honda CR-V Touring,Concord Honda,22013 ,4.7,"1,275 ",30498,Honda Certified
2018 Nissan Murano Platinum,The Autobarn Nissan of Evanston,50076 ,4.5,842 ,32299,Used
2017 Lexus GX 460 Base,Advantage Acura of Naperville,47255 ,4.7,427 ,39178,Used
2019 Mercedes-Benz AMG G 63 Base,"Discovery Auto Center, LLC",14182 ,3.7,78 ,242990,Used
2015 Ford Mustang EcoBoost Premium,Nelson Mazda Murfreesboro,60176 ,4.7,"1,267 ",24000,Used
2017 Acura MDX 3.5L w/Technology Package,Star Motor Sales,72395 ,4.3,186 ,31987,Used
2017 Jeep Grand Cherokee SRT,Red's Auto & Truck,67265 ,4.8,238 ,54863,Used
2016 BMW X1 xDrive 28i,Koons Tysons Chrysler Dodge Jeep RAM,61213 ,4.0,730 ,23500,Used
2015 Jeep Grand Cherokee Overland,Northwest Motorsport - Lynnwood,78429 ,4.9,"3,269 ",29999,Used
2018 Alfa Romeo Giulia Quadrifoglio,Koons Tysons Toyota,19495 ,4.4,"1,336 ",58551,Used
2021 RAM 1500 Big Horn,Earnhardt Chrysler Jeep Dodge RAM,11948 ,4.7,"1,030 ",44988,RAM Certified
2016 Chevrolet Suburban LT,Auto Web Expo,58746 ,4.6,677 ,43988,Used
2019 Chevrolet Corvette Grand Sport,Midway Chevrolet,10742 ,4.5,"1,271 ",74881,Chevrolet Certified
2015 BMW M4 Base,Auto Buying Service,33712 ,4.8,135 ,38444,Used
2018 BMW M3 Base,Sewell BMW MINI of Plano,36227 ,4.3,163 ,66397,Used
